FACILITY_NAME,FACILITY_ID,USER_EMAIL,USER_ACTUAL_COMPANY_NAME,USER_ACTUAL_COMPANY_ID,USER_SCAC,USER_DATA
NY - TX Facility12,Rk1fMTA0MTQ0,carrierseraunverified@mailinator.com,Carrier sera,carrier-sera,['SERASCAC'],"{'id': 17380, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'c8j1flfgaqercrkbbjrg', 'email': 'carrierseraunverified@mailinator.com', 'name': 'carriersera unverified', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['SERASCAC'], 'carrier_type': 'Managed', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-03-07T14:33:57.067262Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-03-07T14:41:14.075125Z', 'last_updated_by': 'carriersera-unverified', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,carriersera@mailinator.com,Carrier sera,carrier-sera,['SERASCAC'],"{'id': 17175, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'c236qndlc538mj46dua0', 'email': 'carriersera@mailinator.com', 'name': 'carrier-sera', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['SERASCAC'], 'carrier_type': 'Managed', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-03-04T06:31:21.225838Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-03-07T12:49:59.292588Z', 'last_updated_by': 'sreejith', 'collaborator_type': 'Carrier', 'approved': True, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,unverifiedcarrieruser0249@mailinator.com,unverified am carrier,unverified-am-carrier,['UNVERIFIED'],"{'id': 17379, 'company_id': 'shipper-sera', 'actual_company_id': 'unverified-am-carrier', 'actual_company_name': 'unverified am carrier', 'fm_user_id': 'c8j00o7gaqercrkbastg', 'email': 'unverifiedcarrieruser0249@mailinator.com', 'name': 'unverified carrieruser0249', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['UNVERIFIED'], 'carrier_type': 'Managed', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-03-07T12:53:52.553068Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-03-07T13:02:14.315356Z', 'last_updated_by': 'unverified-carrieruser', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,vivinduplicatecompanynewuser2@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU2'],"{'id': 26112, 'company_id': 'shipper-sera', 'actual_company_id': 'vivin-original-company', 'actual_company_name': 'Vivin Original Company', 'fm_user_id': 'cdv247fn1jtd2sjsp72g', 'email': 'vivinduplicatecompanynewuser2@mailinator.com', 'name': 'Vivinduplicatecompany Newuser2', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['VDCNU2'], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-11-23T14:57:40.613742Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-04-24T09:09:03.341732Z', 'last_updated_by': 'automationqat-superadmin', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,dushantkoul1593@gmail.com,test carrier,test-carrier-3259,['6786'],"{'id': 20645, 'company_id': 'shipper-sera', 'actual_company_id': 'test-carrier-3259', 'actual_company_name': 'test carrier', 'fm_user_id': 'c9l57tk6niff2it7b7n0', 'email': 'dushantkoul1593@gmail.com', 'name': 'Dushant Koul', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['6786'], 'carrier_type': 'Managed', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-04-28T08:44:38.661111Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-04-28T08:46:45.271196Z', 'last_updated_by': 'dushant-koul-794', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,ayman@mailinator.com,Ayman Carrier,ayman-carrier,['TESTSCAC'],"{'id': 9228, 'company_id': 'shipper-sera', 'actual_company_id': 'ayman-carrier', 'actual_company_name': 'Ayman Carrier', 'fm_user_id': 'c4jb1og09rifb92io4lg', 'email': 'ayman@mailinator.com', 'name': 'ayman hussain', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['TESTSCAC'], 'carrier_type': 'CPU', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2021-11-23T17:13:52.614107Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-06-03T15:24:05.219484Z', 'last_updated_by': 'vaijayanthi-a', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,all@mailinator.com,Carrier sera,carrier-sera,"['TL', 'TL1', 'scac1234', 'CAR-130360']","{'id': 25536, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'cddm3bvn1jta25t2tdg0', 'email': 'all@mailinator.com', 'name': 'all user', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['TL', 'TL1', 'scac1234', 'CAR-130360'], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-10-28T05:00:15.381258Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-04-24T09:08:59.32812Z', 'last_updated_by': 'automationqat-superadmin', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,vivinduplicatecompanynewuser1@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU1'],"{'id': 26109, 'company_id': 'shipper-sera', 'actual_company_id': 'vivin-original-company', 'actual_company_name': 'Vivin Original Company', 'fm_user_id': 'cdv20fvn1jtd2sjsp57g', 'email': 'vivinduplicatecompanynewuser1@mailinator.com', 'name': 'Vivinduplicatecompany Newuser1', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['VDCNU1'], 'carrier_type': 'Other', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-11-23T14:57:36.894086Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-04-24T09:09:00.664056Z', 'last_updated_by': 'automationqat-superadmin', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,vivinduplicatecompanynewuser3@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU3'],"{'id': 26115, 'company_id': 'shipper-sera', 'actual_company_id': 'vivin-original-company', 'actual_company_name': 'Vivin Original Company', 'fm_user_id': 'cdv25nfn1jtd2sjsp7o0', 'email': 'vivinduplicatecompanynewuser3@mailinator.com', 'name': 'Vivinduplicatecompany Newuser3', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': ['VDCNU3'], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-11-23T14:57:44.423032Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-04-24T09:09:01.862479Z', 'last_updated_by': 'automationqat-superadmin', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
FRA FAC,Rk1fMTA3NTU1MQ==,carriersera@yopmail.com,Carrier sera,carrier-sera,"['SCAC1', 'SCAC', 'NEWSCAC', 'ARUN', 'KARTHI', 'ARUNKARTHI', '2345678']","{'id': 35582, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'cka28p42c0mqhcs9qm8g', 'email': 'carriersera@yopmail.com', 'name': 'carrier sera YOP mail', 'roles': [{'id': '8414', 'name': 'Guest'}], 'scac': ['SCAC1', 'SCAC', 'NEWSCAC', 'ARUN', 'KARTHI', 'ARUNKARTHI', '2345678'], 'carrier_type': 'CPU', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '0001-01-01T00:00:00Z', 'created_by': '', 'last_updated_at': '2024-04-12T07:51:35.197704Z', 'last_updated_by': 'automationqat-superadmin', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
