FACILITY_NAME,FACILITY_ID,USER_EMAIL,USER_ACTUAL_COMPANY_NAME,USER_ACTUAL_COMPANY_ID,USER_SCAC,USER_DATA
NY - TX Facility12,Rk1fMTA0MTQ0,testinguseram1@mailinator.com,Carrier sera,carrier-sera,[],"{'id': 25277, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'c7rstofgaqettvd8q5b0', 'email': 'testinguseram1@mailinator.com', 'name': 'test am', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-10-17T07:30:28.98529Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-10-17T07:30:28.98529Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,vivin123456@mailinator.com,vivin123456,vivin123456,[],"{'id': 25661, 'company_id': 'shipper-sera', 'actual_company_id': 'vivin123456', 'actual_company_name': 'vivin123456', 'fm_user_id': 'cdfq92fn1jta25t408tg', 'email': 'vivin123456@mailinator.com', 'name': 'vivin v123456', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-10-31T10:33:46.789136Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-10-31T10:33:46.789137Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,41237859384@mailinator.com,Carrier sera,carrier-sera,[],"{'id': 25548, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'cddqu9vn1jta25t2vfig', 'email': '41237859384@mailinator.com', 'name': 'aa asdd', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-10-28T10:55:58.404939Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-10-28T10:55:58.404939Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,amcarrier29@gmail.com,Carrier sera,carrier-sera,[],"{'id': 20647, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'c6j0hlu8g29dgt6ovfrg', 'email': 'amcarrier29@gmail.com', 'name': 'am carrier', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2022-04-28T13:48:40.523085Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-04-28T13:48:40.523085Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': True, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,testamcarrier1@mailinator.com,Carrier sera,carrier-sera,,"{'id': 15176, 'company_id': 'shipper-sera', 'actual_company_id': 'carrier-sera', 'actual_company_name': 'Carrier sera', 'fm_user_id': 'c7sim17gaqettvd9f7n0', 'email': 'testamcarrier1@mailinator.com', 'name': 'testing carrier', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': None, 'carrier_type': 'Other', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2022-02-01T12:43:49.975375Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-02-01T12:45:18.084287Z', 'last_updated_by': 'testing-carrier', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
NY - TX Facility12,Rk1fMTA0MTQ0,testuserpagination@mailinator.com,Ayman Carrier,ayman-carrier,,"{'id': 8616, 'company_id': 'shipper-sera', 'actual_company_id': 'ayman-carrier', 'actual_company_name': 'Ayman Carrier', 'fm_user_id': 'c690pa68g29djmec6mdg', 'email': 'testuserpagination@mailinator.com', 'name': 'TestUserPagination One', 'roles': [{'id': '1813', 'name': 'Guest'}], 'scac': None, 'carrier_type': 'CPU', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2021-11-15T07:30:48.86319Z', 'created_by': 'dc-manager', 'last_updated_at': '2022-03-04T06:26:12.484501Z', 'last_updated_by': 'sreejith', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
AST -14400 Facility,Rk1fMTA2Njk4MA==,invite65789@yopmail.com,PINNACLE LOGISTICS SOLUTIONS,pinnacle-logistics-solutions,[],"{'id': 40559, 'company_id': 'shipper-sera', 'actual_company_id': 'pinnacle-logistics-solutions', 'actual_company_name': 'PINNACLE LOGISTICS SOLUTIONS', 'fm_user_id': 'cgn5le6ham3sf7cvnrpg', 'email': 'invite65789@yopmail.com', 'name': 'fname lname', 'roles': [{'id': '9238', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2024-01-19T11:16:51.637453Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-01-19T11:16:51.637453Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
FRA FAC,Rk1fMTA3NTU1MQ==,teo750@leaderssk.com,TEO DECK,teo-deck,[],"{'id': 35540, 'company_id': 'shipper-sera', 'actual_company_id': 'teo-deck', 'actual_company_name': 'TEO DECK', 'fm_user_id': 'cka6ukc2c0mqhcsa0i40', 'email': 'teo750@leaderssk.com', 'name': 'Teo Deck', 'roles': [{'id': '8414', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2023-09-27T18:07:13.033394Z', 'created_by': 'dc-manager', 'last_updated_at': '2023-09-27T18:07:13.033394Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
FRA FAC,Rk1fMTA3NTU1MQ==,newconfig@gmail.com,shipper sera18,shipper-sera18,[],"{'id': 35587, 'company_id': 'shipper-sera', 'actual_company_id': 'shipper-sera18', 'actual_company_name': 'shipper sera18', 'fm_user_id': 'ckbcki42c0mqhcsb0050', 'email': 'newconfig@gmail.com', 'name': 'new config', 'roles': [{'id': '8414', 'name': 'Guest'}], 'scac': [], 'carrier_type': '', 'is_guest_user': True, 'is_first_time_visit': True, 'active': True, 'created_at': '2023-09-29T12:59:52.876354Z', 'created_by': 'dc-manager', 'last_updated_at': '2023-09-29T12:59:52.876355Z', 'last_updated_by': 'dc-manager', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': '', 'customer_id_permalink': '', 'customer_name': ''}"
KD Test Facility,Rk1fMTA5Njk3NA==,prpkdtest01@yopmail.com,Shipper Sera 2,shipper-sera-2,,"{'id': 43142, 'company_id': 'shipper-sera', 'actual_company_id': 'shipper-sera-2', 'actual_company_name': 'Shipper Sera 2', 'fm_user_id': 'cocj197bokgtlch75o50', 'email': 'prpkdtest01@yopmail.com', 'name': 'prptesting', 'roles': [{'id': '10762', 'name': 'Guest'}], 'scac': None, 'carrier_type': 'Other', 'is_guest_user': True, 'is_first_time_visit': False, 'active': True, 'created_at': '2024-04-12T13:01:24.390402Z', 'created_by': 'dc-manager', 'last_updated_at': '2024-04-12T13:01:53.26353Z', 'last_updated_by': 'prptesting', 'collaborator_type': 'Carrier', 'approved': False, 'customer_id': 'peer', 'customer_id_permalink': 'shipper-sera-cust-4791', 'customer_name': 'cust'}"
