USER_EMAIL,USER_ACTUAL_COMPANY_NAME,USER_ACTUAL_COMPANY_ID,SCAC
carrierseraunverified@mailinator.com,Carrier sera,carrier-sera,['SERASCAC']
carriersera@mailinator.com,Carrier sera,carrier-sera,"['SERASCAC', 'TL', 'TL1', 'scac1234', 'CAR-130360', 'ABCD', 'TESTSERA', 'CS', 'asdasd']"
unverifiedcarrieruser0249@mailinator.com,unverified am carrier,unverified-am-carrier,"['UNVERIFIED', '1343']"
vivinduplicatecompanynewuser2@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU2']
dushantkoul1593@gmail.com,test carrier,test-carrier-3259,['6786']
ayman@mailinator.com,Ayman Carrier,ayman-carrier,"['TESTSCAC', 'ABCDE', 'XXXX']"
all@mailinator.com,Carrier sera,carrier-sera,"['TL', 'TL1', 'scac1234', 'CAR-130360']"
vivinduplicatecompanynewuser1@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU1']
vivinduplicatecompanynewuser3@mailinator.com,Vivin Original Company,vivin-original-company,['VDCNU3']
carriersera@yopmail.com,Carrier sera,carrier-sera,"['SCAC1', 'SCAC', 'NEWSCAC', 'ARUN', 'KARTHI', 'ARUNKARTHI', '2345678', 'XXXX', 'OAS', 'MNOP', 'PSG', 'TL', 'TL1', 'scac1234', 'CAR-130360']"
7c135837949@inactivemachine.com,Popla Inc,popla-inc,['AQLL']
myselfsignup@yopmail.com,Carrier sera,carrier-sera,"['ARUNKARTHIT', 'NEW', 'YES']"
testcarrierautocopyscac1@yopmail.com,testcarriercompanyAM,testcarriercompanyam,['SCAC']
carriersera1@yopmail.com,Carrier sera,carrier-sera,['SCAC']
rakshanafk@gmail.com,Carrier sera,carrier-sera,"['TL', 'TL1', 'scac1234', 'CAR-130360']"
mailtokdtest003@yopmail.com,Carrier sera,carrier-sera,['OMPH']
kdtest001carrier@yopmail.com,carrierscac,carrierscac,['XXX']
vivinoriginalcompany2@mailinator.com,Vivin Original Company,vivin-original-company,"['VOCU1', 'VOCU2']"
vivinoriginalcompany1@mailinator.com,Vivin Original Company,vivin-original-company,['VOCU1']
fwkdtest001@yopmail.com,Shipper Sera 2,shipper-sera-2,['TRY']
invite00123@mailinator.com,test568790,test568790,['iuujnijin']
vivintesting1530@mailinator.com,vivinselfsignup12334,vivinselfsignup12334,['234']
amdemobrokeruser@mailinator.com,AM Demo Broker,am-demo-broker,"['567', '234']"
jbhunt@mailinator.com,JB Hunt,jb-hunt,"['JBH', '67']"
vivinduplicatecompany1@mailinator.com,Vivin Original Company,vivin-original-company,['VDCU1']
vivinduplicatecompany2@mailinator.com,Vivin Original Company,vivin-original-company,['VDCU2']
jbhuntuser1@mailinator.com,JB Hunt,jb-hunt,['JBH']
qatcarrieruser2@mailinator.com,XPO Logistics,xlft,['SHAC']
invite13@yopmail.com,selfsigntest134444,selfsigntest134444,['ABCD']
testam@c.com,RNMF TRANSPORTATION LLC,rnmf-transportation-llc,['abcd']
invite12222@mailinator.com,Carrier sera,carrier-sera-2247,['ABCD']
aprilregcarrier@mailinator.com,April reg carrier,april-reg-carrier,"['APRILTL', 'APRILAM', 'EUR']"
testcollab1@mailinator.com,Carrier sera,carrier-sera,"['TL', 'TL1', 'C1', 'C2', 'M1']"
emailtest@mailinator.com,Carrier sera,carrier-sera-2247,['TL']
test74747@yopmail.com,COLOSSAL CARRIERS,colossal-carriers,"['NEW', 'NEW1']"
apmteucarrier1@mailinator.com,apmteu,apmteu,['EU1']
multicarrieruser1@mailinator.com,multiinvite,multiinvite,['ete4rt']
testingeurope@mailinator.com,testing europe,testing-europe,['TST']
carriersera2@mailinator.com,Carrier sera,carrier-sera,['WPWP']
qatcarrieruser@mailinator.com,Dean Carrier,dean-carrier,['SCAC1']
re15@dispostable.com,wsds,wsds,['223311']
re32@dispostable.com,shipper sera,shipper-sera-807,['D222']
vaijayanthi12345@mailinator.com,vaijayanthi12345,vaijayanthi12345,['ABCD']
vivinselfsignuptest@mailinator.com,Test no carrier users 1,test-no-carrier-users-1,['ABCD']
